Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
exang,50%,"Total variation
 distance(+)",0.04133214981899189,0.06225186869067008,0.10358401850966197,0.002573003563234986,0.12306517740523926
exang,50%,"Jensen-Shannon
 divergence(+)",0.007896762261959976,0.02583989270993145,0.033736654971891426,0.00020405148960488137,0.03312269393229685
exang,70%,"Hellinger
 distance(+)",0.013478501761505515,0.09570004133025581,0.10917854309176132,0.0012898931756460035,0.08205909669297096
exang,70%,"Wasserstein
 distance(+)",0.0022326863729203402,0.006483181918966531,0.00871586829188687,1.4474911923640114e-05,0.011549344456541568
exang,70%,"Contingency
 coefficient(-)",0.016542838060096043,0.059493658539249816,0.07603649659934586,0.0009841939588174599,0.5396343095874225
exang,70%,"Total variation
 distance(+)",0.010591409078251166,0.0952372576850207,0.10582866676327186,0.0010086967556328739,0.1617109456017945
exang,70%,"Jensen-Shannon
 divergence(+)",0.0016014922191816584,0.03266389535423571,0.034265387573417364,5.2310974257972405e-05,0.041236485176223005
fbs,10%,"Hellinger
 distance(+)",0.0,0.02489341031647851,0.02489341031647851,0.0,0.01457456723886331
fbs,10%,"Wasserstein
 distance(+)",0.0,0.00015784978725204204,0.00015784978725204204,0.0,0.0021361392388044432
fbs,10%,"Contingency
 coefficient(-)",0.0,0.165861795155554,0.165861795155554,0.0,0.5833596304779286
fbs,10%,"Total variation
 distance(+)",0.0,0.005298973559969295,0.005298973559969295,0.0,0.025543497887839633
fbs,10%,"Jensen-Shannon
 divergence(+)",0.0,0.006453041579592384,0.006453041579592384,0.0,0.007647155392551389
fbs,30%,"Hellinger
 distance(+)",0.0,0.06550609629554871,0.06550609629554871,0.0,0.036336601158777286
fbs,30%,"Wasserstein
 distance(+)",0.0,0.0007012122503501977,0.0007012122503501977,0.0,0.00570651449935388
fbs,30%,"Contingency
 coefficient(-)",0.0,0.1424643900080489,0.1424643900080489,0.0,0.5609078347857597
fbs,30%,"Total variation
 distance(+)",0.0,0.039031829373627695,0.039031829373627695,0.0,0.06430164697272374
fbs,30%,"Jensen-Shannon
 divergence(+)",0.0,0.019660523875436868,0.019660523875436868,0.0,0.018794592590626335
fbs,50%,"Hellinger
 distance(+)",0.0,0.1025390986539524,0.1025390986539524,0.0,0.04841701713862335
fbs,50%,"Wasserstein
 distance(+)",0.0,0.003967230030067648,0.003967230030067648,0.0,0.007380358695311354
fbs,50%,"Contingency
 coefficient(-)",0.0,0.1077468772652892,0.1077468772652892,0.0,0.5523780847212811
fbs,50%,"Total variation
 distance(+)",0.0,0.09339262836795867,0.09339262836795867,0.0,0.08047555671314915
fbs,50%,"Jensen-Shannon
 divergence(+)",0.0,0.036185993146855853,0.036185993146855853,0.0,0.023298806115181182
fbs,70%,"Hellinger
 distance(+)",0.0,0.1178573330432889,0.1178573330432889,0.0,0.06365646802854004
fbs,70%,"Wasserstein
 distance(+)",0.0,0.0011841365978091586,0.0011841365978091586,0.0,0.011561017536148892
fbs,70%,"Contingency
 coefficient(-)",0.0,0.11072469675772506,0.11072469675772506,0.0,0.5269428771760475
fbs,70%,"Total variation
 distance(+)",0.0,0.09422642068088063,0.09422642068088063,0.0,0.11874294019732443
fbs,70%,"Jensen-Shannon
 divergence(+)",0.0,0.03753881289250073,0.03753881289250073,0.0,0.030877370081631595
oldpeak,10%,"Hellinger
 distance(+)",0.0,0.010544318006619126,0.010544318006619126,0.0,0.030413492615948043
oldpeak,10%,"Wasserstein
 distance(+)",0.0004111159796916998,0.001719390109495112,0.002130506089186812,7.068687493373021e-07,0.003274232847275181
oldpeak,10%,"Contingency
 coefficient(-)",0.005660210042830016,0.04724249480333864,0.05290270484616866,0.00026740244353420223,0.6383701405785793
oldpeak,10%,"Total variation
 distance(+)",0.012099358974358959,0.03118342158273914,0.0432827805570981,0.0003772994117783337,0.048660791824460994
oldpeak,10%,"Jensen-Shannon
 divergence(+)",0.0012952086628473195,0.00488152040063076,0.006176729063478079,6.322587510762878e-06,0.014704116600168774
oldpeak,30%,"Hellinger
 distance(+)",0.0019042499047234734,0.027079287986483486,0.02898353789120696,5.156573156824068e-05,0.07270273626668676
oldpeak,30%,"Wasserstein
 distance(+)",0.0021415139783534003,0.0030124944404444493,0.0051540084187978496,6.451298953923693e-06,0.008413394888611432
oldpeak,30%,"Contingency
 coefficient(-)",0.01200286307337639,0.007930435092980193,0.019933298166356583,9.518792653334021e-05,0.5905340133707904
oldpeak,30%,"Total variation
 distance(+)",0.010745453377032338,0.04867823161806667,0.05942368499509901,0.0005230696683283169,0.1271615333611322
oldpeak,30%,"Jensen-Shannon
 divergence(+)",0.000310151782420498,0.016043629825553032,0.01635378160797353,4.975960386889936e-06,0.036736699539622504
oldpeak,50%,"Hellinger
 distance(+)",0.008500630311125135,0.017304580590780452,0.025805210901905587,0.000147099842291296,0.10809215304326474
oldpeak,50%,"Wasserstein
 distance(+)",0.0023456719039702404,0.00046290565214457055,0.002808577556114811,1.0858247824245405e-06,0.013185297007300424
oldpeak,50%,"Contingency
 coefficient(-)",0.00036874972801292927,0.00845102408005538,0.00881977380806831,3.1163128309511374e-06,0.5412459580662747
oldpeak,50%,"Total variation
 distance(+)",0.007061608728528679,0.03450107069266026,0.041562679421188936,0.00024363306194687468,0.19903715242745568
oldpeak,50%,"Jensen-Shannon
 divergence(+)",0.002214109426428322,0.011518088552302366,0.013732197978730688,2.5502308438088815e-05,0.05440441580906803
oldpeak,70%,"Hellinger
 distance(+)",0.04599605243246002,0.004158469881902854,0.050154522314362876,0.00019127319872680953,0.13474076500082904
oldpeak,70%,"Wasserstein
 distance(+)",0.004669976177050941,0.0027631163967747445,0.007433092573825685,1.2903687747356893e-05,0.0176184595509993
oldpeak,70%,"Contingency
 coefficient(-)",0.054096556245761596,0.0071739040915272945,0.06127046033728889,0.00038808350618900554,0.49692768561437645
oldpeak,70%,"Total variation
 distance(+)",0.08086509143591192,0.0038043923597329554,0.08466948379564487,0.00030764253602789016,0.25818336596283303
oldpeak,70%,"Jensen-Shannon
 divergence(+)",0.01444543193720587,0.006998788926675034,0.021444220863880904,0.00010110052908315433,0.0671474814740974
restecg,10%,"Hellinger
 distance(+)",0.0,0.017147422524485628,0.017147422524485628,0.0,0.008573711262242814
restecg,10%,"Wasserstein
 distance(+)",0.0,0.0019361037208694032,0.0019361037208694032,0.0,0.0009680518604347016
restecg,10%,"Contingency
 coefficient(-)",0.3535533905932738,0.497019920460567,0.8505733110538407,0.17572307807123272,0.45474943807635987
restecg,10%,"Total variation
 distance(+)",0.0,0.02851396767345042,0.02851396767345042,0.0,0.014256983836725213
restecg,10%,"Jensen-Shannon
 divergence(+)",0.0,0.008747456511242185,0.008747456511242185,0.0,0.0043737282556210915
restecg,30%,"Hellinger
 distance(+)",0.0,0.05493450692007456,0.05493450692007456,0.0,0.027467253460037273
restecg,30%,"Wasserstein
 distance(+)",0.0,0.005604023493239553,0.005604023493239553,0.0,0.0028020117466197765
restecg,30%,"Contingency
 coefficient(-)",0.3535533905932738,0.46657888081605603,0.8201322714093298,0.1649605452917316,0.4395289182541043
restecg,30%,"Total variation
 distance(+)",0.0,0.08593794520915664,0.08593794520915664,0.0,0.04296897260457832
restecg,30%,"Jensen-Shannon
 divergence(+)",0.0,0.02779654868741697,0.02779654868741697,0.0,0.013898274343708486
restecg,50%,"Hellinger
 distance(+)",0.0,0.08288961082168789,0.08288961082168789,0.0,0.04144480541084394
restecg,50%,"Wasserstein
 distance(+)",0.0,0.01079110275329614,0.01079110275329614,0.0,0.005395551376648069
restecg,50%,"Contingency
 coefficient(-)",0.3535533905932738,0.429977917261805,0.7835313078550787,0.1520201505281453,0.4212284364769789
restecg,50%,"Total variation
 distance(+)",0.0,0.14610110156446363,0.14610110156446363,0.0,0.07305055078223181
restecg,50%,"Jensen-Shannon
 divergence(+)",0.0,0.04182693705061336,0.04182693705061336,0.0,0.02091346852530668
restecg,70%,"Hellinger
 distance(+)",0.019758483831873598,0.1096856123699463,0.1294440962018199,0.0021672213986007388,0.05566607634463455
restecg,70%,"Wasserstein
 distance(+)",0.00078485777941144,0.016007296487203743,0.016792154266615185,1.2563451175327274e-05,0.00803635065107735
restecg,70%,"Contingency
 coefficient(-)",0.34891535724057193,0.3837862319589893,0.7327015891995612,0.13390891022798376,0.3979393424358751
restecg,70%,"Total variation
 distance(+)",0.01242424242424242,0.21122756553791033,0.22365180796215275,0.0026243424809255515,0.10613145953663193
restecg,70%,"Jensen-Shannon
 divergence(+)",0.00656290117856626,0.05528175026707808,0.06184465144564434,0.00036280866398101237,0.027914329349312633
